               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10606,            0.038668,                   0,           0.0056296,             0.87356,            0.022004,           0.0068697,            0.061522,            0.023921,                   0,              0.0928,              0.0008,              0.0008
                   1,            0.088869,            0.042333,                   0,           0.0061481,             0.95402,            0.075928,            0.020173,            0.043581,            0.025709,                   0,            0.084666,           0.0016663,           0.0016663
                   2,            0.075985,            0.044259,                   0,           0.0064444,                   1,             0.20493,            0.068626,            0.036358,             0.02613,                   0,            0.076497,            0.002497,            0.002497
                   3,            0.066856,            0.044561,                   0,             0.05506,             0.90805,             0.24406,            0.083635,            0.033236,            0.025292,                   0,            0.068292,           0.0032921,           0.0032921
                   4,            0.056628,            0.042792,                   0,             0.38388,             0.41379,             0.37534,              0.1382,            0.033144,            0.023869,                   0,            0.060052,           0.0040515,           0.0040515
                   5,            0.056921,            0.039509,                   0,             0.44622,             0.52874,             0.50217,             0.21229,            0.037125,            0.021828,                   0,            0.051775,           0.0047753,           0.0047753
                   6,            0.055635,            0.035505,                   0,             0.37469,              0.6092,              0.4728,             0.19144,            0.034069,            0.018789,                   0,            0.043463,           0.0054634,           0.0054634
                   7,            0.053134,             0.03692,                   0,             0.42376,             0.53255,             0.45083,             0.17303,            0.041505,            0.016562,                   0,            0.035116,           0.0061159,           0.0061159
                   8,            0.053376,            0.033429,                   0,             0.73903,             0.68359,             0.79645,             0.37727,            0.032318,            0.015733,                   0,            0.026733,           0.0067328,           0.0067328
                   9,            0.056288,            0.031741,                   0,             0.59854,              0.7369,             0.67838,             0.20871,            0.035161,            0.016191,                   0,            0.018314,            0.007314,            0.007314
                  10,            0.045059,            0.029075,                   0,               0.389,             0.62069,             0.41066,             0.21633,             0.03595,            0.014562,                   0,           0.0098596,           0.0078596,           0.0078596
                  11,            0.050367,             0.02884,                   0,             0.88904,             0.81609,             0.89667,              0.4014,            0.029866,             0.01326,                   0,            0.007822,            0.007822,            0.007822
                  12,            0.048729,            0.028705,                   0,             0.70893,             0.83908,              0.8427,             0.46733,            0.027225,            0.012012,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.050942,             0.02821,                   0,             0.84986,             0.84585,             0.89401,             0.46119,            0.029966,            0.010992,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.047303,             0.02794,                   0,             0.69081,             0.89655,             0.80914,              0.3698,            0.031769,            0.013102,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.044955,             0.02589,                   0,             0.63558,             0.90213,             0.80211,             0.43298,            0.030041,           0.0099297,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.043828,            0.025558,                   0,             0.59991,             0.81609,             0.80622,             0.37094,            0.031375,            0.014029,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.042543,            0.023228,                   0,             0.66113,             0.82759,             0.77817,             0.44333,            0.025254,           0.0095682,                   0,            0.006832,            0.006832,            0.006832
                  18,             0.04232,            0.024326,                   0,              0.8737,             0.94253,             0.93723,             0.50674,             0.02719,           0.0093093,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.039219,            0.021454,                   0,             0.71121,             0.82092,             0.86806,             0.46806,            0.030513,           0.0098867,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.042456,            0.023198,                   0,             0.83403,             0.86644,             0.94019,             0.47922,            0.028387,            0.009203,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.034073,            0.020696,                   0,             0.97925,             0.97701,             0.98488,             0.60124,            0.023033,           0.0083432,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.036586,            0.023119,                   0,              0.9658,             0.97389,             0.98262,             0.51514,            0.025238,           0.0089488,                   0,            0.005842,            0.005842,            0.005842
